"name","count","countries","cities","roles","samples"
"Bergamo Orio al Serio Airport (BGY)","5","Italy","Milan","from","Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan"
"Bergen City","1","Norway","Bergen City","to","Oslo Gardermoen Airport (OSL) -> Bergen City"
"Berlin","7","Germany","Berlin","to","Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin"
"Berlin Brandenburg Airport (BER)","7","Germany","Berlin","from","Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin"
"Beverly Hills","24","United States of America","Beverly Hills|Los Angeles","to","John Wayne Airport (SNA) -> Beverly Hills || John Wayne Airport (SNA) -> Beverly Hills || John Wayne Airport (SNA) -> Beverly Hills"
"Big Buddha","7","Thailand","Big Buddha","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Big Buddha || Koh Samui - Mae Nam Port (Surat Thani ) -> Big Buddha || Samui International Airport (USM) -> Big Buddha"
"Bilbao","4","Spain","Bilbao","to","Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao"
"Bilbao Airport (BIO)","4","Spain","Bilbao","from","Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao || Bilbao Airport (BIO) -> Bilbao"
"Billund Airport (BLL)","3","Denmark","Aarhus","from","Billund Airport (BLL) -> Aarhus city || Billund Airport (BLL) -> Horsens || Billund Airport (BLL) -> Silkeborg"
"Bishkek","2","Kirgizstan","Bishkek","to","Bishkek Manas Airport (FRU) -> Bishkek || Bishkek Manas Airport (FRU) -> Bishkek"
"Bishkek Manas Airport (FRU)","2","Kirgizstan","Bishkek","from","Bishkek Manas Airport (FRU) -> Bishkek || Bishkek Manas Airport (FRU) -> Bishkek"
"Blanes","1","Spain","Blanes","to","Barcelona El Prat Airport (BCN) -> Blanes"
"Boden","1","Sweden","Boden","to","Luleå Airport (LLA) -> Boden"
"Bodrum","4","Russia","Bodrum","to","Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum || Milas–Bodrum International Airport (BJV) -> Bodrum"
"Bogazkent / Boğazkent","7","Turkey","Bogazkent / Boğazkent","to","Antalya Airport (AYT) -> Bogazkent / Boğazkent || Antalya Airport (AYT) -> Bogazkent / Boğazkent || Antalya Airport (AYT) -> Bogazkent / Boğazkent"
"Boliden","1","Sweden","Boliden","to","Luleå Airport (LLA) -> Boliden"
"Bophut Beach","6","Thailand","Bophut Beach","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bophut Beach || Koh Samui - Mae Nam Port (Surat Thani ) -> Bophut Beach || Samui International Airport (USM) -> Bophut Beach"
"Borås / Boras","1","Sweden","Borås / Boras","to","Gothenburg Landvetter Airport (GOT) -> Borås / Boras"
"Bordeaux","3","France","Bordeaux","to","Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux"
"Bordeaux–Mérignac Airport (BOD)","3","France","Bordeaux","from","Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux"
"Borgholm","1","Sweden","Borgholm","to","Kalmar Airport (KLR) -> Borgholm"
"Bozburun (Marmaris)","3","Turkey","Bozburun (Marmaris)","to","Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris)"
"Brighton","4","United Kingdom","Brighton","to","London Heathrow Airport (LHR) -> Brighton || London Heathrow Airport (LHR) -> Brighton || London Heathrow Airport (LHR) -> Brighton"
"Bromma district, Stockholm","2","Sweden","Bromma district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Bromma district, Stockholm || Stockholm Arlanda Airport (ARN) -> Bromma district, Stockholm"
"Buena Park","14","United States of America","Buena Park","to","John Wayne Airport (SNA) -> Buena Park || John Wayne Airport (SNA) -> Buena Park || John Wayne Airport (SNA) -> Buena Park"
"Buenos Aires","3","Argentina","Buenos Aires","to","Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires"
"Buenos Aires Ministro Pistarini Airport (EZE)","3","Argentina","Buenos Aires","from","Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires"
"Bur Dubai Area","10","United Arab Emirates","Bur Dubai Area","to","Dubai international Airport (DXB) -> Bur Dubai Area || Dubai international Airport (DXB) -> Bur Dubai Area || Dubai international Airport (DXB) -> Bur Dubai Area"
"Burbank","14","United States of America","Burbank","to","Long Beach Airport (LGB) -> Burbank || Long Beach Airport (LGB) -> Burbank || Long Beach Airport (LGB) -> Burbank"
"Burgas","1","Bulgaria","Burgas","to","Varna Airport (VAR) -> Burgas"
"Bursa","2","Turkey","Istanbul","from","Bursa -> Anadolu transfer || Bursa -> Anadolu transfer"
"Bursa daily trip","2","Turkey","Istanbul","to","Istanbul -> Bursa daily trip || Istanbul -> Bursa daily trip"
"Busan","3","South Korea","Busan","to","Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan"
"Busan Gimhae Airport (PUS)","17","South Korea","Busan|Daegu|Geoje Island|Gijang-gun|Gyeongju|Jeonju","from","Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan || Busan Gimhae Airport (PUS) -> Busan"
"Cairo city centre","2","Egypt","Cairo city centre","to","Cairo International Airport (CAI) -> Cairo city centre || Cairo International Airport (CAI) -> Cairo city centre"
"Cairo International Airport (CAI)","19","Egypt","6 of October|Cairo city centre|El Alamein|Giza|Heliopolis|Hurghada|Marsa Matrouh|Ras Suder|Sharm El Sheikh|Suez city centre","from","Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> Cairo city centre"
"Calabasas","21","United States of America","Calabasas","to","John Wayne Airport (SNA) -> Calabasas || John Wayne Airport (SNA) -> Calabasas || John Wayne Airport (SNA) -> Calabasas"
"Calella","5","Spain","Calella","to","Barcelona El Prat Airport (BCN) -> Calella || Barcelona El Prat Airport (BCN) -> Calella || Barcelona El Prat Airport (BCN) -> Calella"
"Camyuva / Çamyuva","4","Turkey","Camyuva / Çamyuva","to","Antalya Airport (AYT) -> Camyuva / Çamyuva || Antalya Airport (AYT) -> Camyuva / Çamyuva || Antalya Airport (AYT) -> Camyuva / Çamyuva"
"Canggu","1","Indonesia","Canggu","to","Denpasar Ngurah Rai Airport (DPS) -> Canggu"
"Cape Town","1","South Africa","Cape Town","to","Cape Town International Airport (CPT) -> Cape Town"
"Cape Town International Airport (CPT)","1","South Africa","Cape Town","from","Cape Town International Airport (CPT) -> Cape Town"
"Catania","2","Italy","Catania","to","Catania–Fontanarossa Airport (CTA) -> Catania || Catania–Fontanarossa Airport (CTA) -> Catania"
"Catania–Fontanarossa Airport (CTA)","2","Italy","Catania","from","Catania–Fontanarossa Airport (CTA) -> Catania || Catania–Fontanarossa Airport (CTA) -> Catania"
"Central and Western","2","China","Central and Western","to","Hong Kong Airport (HKG) -> Central and Western || Hong Kong Airport (HKG) -> Central and Western"
"cercle d' Loudaya","7","Morocco","cercle d' Loudaya","to","Marrakesh Menara Airport (RAK) -> cercle d' Loudaya || Marrakesh Menara Airport (RAK) -> cercle d' Loudaya || Marrakesh Menara Airport (RAK) -> cercle d' Loudaya"
"Cerkezkoy daily trip","2","Turkey","Istanbul","to","European Side -> Cerkezkoy daily trip || European Side -> Cerkezkoy daily trip"
"Cerkezkoy transfer","4","Turkey","Istanbul","to","Istanbul Airport (IST) -> Cerkezkoy transfer || Istanbul Airport (IST) -> Cerkezkoy transfer || Istanbul Sabiha Gokcen Airport (SAW) -> Cerkezkoy transfer"
"Cesar Manrique-Lanzarote Airport (ACE)","2","Spain","Arrecife","from","Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife || Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife"
"Cha Am Beach, Phetchaburi","5","Thailand","Cha Am Beach, Phetchaburi","to","Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi || Bangkok Suvarnabhumi Airport (BKK) -> Cha Am Beach, Phetchaburi"
"Chalong, Mueang, Phuket","7","Thailand","Chalong, Mueang, Phuket","to","Phuket International Airport (HKT) -> Chalong, Mueang, Phuket || Phuket International Airport (HKT) -> Chalong, Mueang, Phuket || Phuket International Airport (HKT) -> Chalong, Mueang, Phuket"
"Charles de Gaulle Airport (CDG)","10","France","Disneyland|Paris","from","Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland"
"Charleston","4","United States of America","Charleston","to","Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston"
"Charleston International Airport (CHS)","4","United States of America","Charleston","from","Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston || Charleston International Airport (CHS) -> Charleston"
"Chaweng, Samui, Thailand","5","Thailand","Chaweng, Samui, Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Chaweng, Samui, Thailand || Samui International Airport (USM) -> Chaweng, Samui, Thailand || Samui International Airport (USM) -> Chaweng, Samui, Thailand"
"Chelyabinsk","5","Russia","Chelyabinsk","to","Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk"
"Chelyabinsk Airport (CEK)","5","Russia","Chelyabinsk","from","Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk"
"Cheow Lan Dam, Surat Thani","2","Thailand","Cheow Lan Dam, Surat Thani","to","Phuket International Airport (HKT) -> Cheow Lan Dam, Surat Thani || Phuket International Airport (HKT) -> Cheow Lan Dam, Surat Thani"
"Cherepovets","1","Russia","Cherepovets","to","Cherepovets Airport (CEE) -> Cherepovets"
"Cherepovets Airport (CEE)","1","Russia","Cherepovets","from","Cherepovets Airport (CEE) -> Cherepovets"
"Chiang Mai","5","Thailand","Chiang Mai","to","Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai"
"Chiang Mai International Airport (CNX)","34","Thailand","Chiang Mai|Chiang Mai International Airport (CNX)|Chiang Mai Outskirts|Chiang Mai Train Station|Doi Saket district|Doi Suthep Temple|Hang Dong District|Lampang District|Lampoon|Mae Rim district|Mae-Hongsorn district|Maetang district|Phitsanulok|Samoeng district|Sukhothai disctrict|mae salong district","from|to","Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai || Chiang Mai International Airport (CNX) -> Chiang Mai"
"Chiang Mai Outskirts","2","Thailand","Chiang Mai Outskirts","to","Chiang Mai International Airport (CNX) -> Chiang Mai Outskirts || Chiang Mai International Airport (CNX) -> Chiang Mai Outskirts"
"Chiang Mai Train Station","4","Thailand","Chiang Mai|Chiang Mai International Airport (CNX)|Chiang Mai Train Station","from|to","Chiang Mai Train Station -> Chiang Mai || Chiang Mai Train Station -> Chiang Mai || Chiang Mai Train Station -> Chiang Mai International Airport (CNX)"
"Chicago","3","United States of America","Chicago","to","Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago"
"Chicago O'Hare Airport (ORD)","3","United States of America","Chicago","from","Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago"
"Chita","3","Russia","Chita","to","Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita"
"Chita-Kadala International Airport (HTA)","3","Russia","Chita","from","Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita"
"Chloraka","1","Cyprus","Chloraka","to","Larnaca Airport (LCA) -> Chloraka"
"Chlorakas","1","Cyprus","Chlorakas","to","Paphos Airport (PFO) -> Chlorakas"
"Choeng Thale","6","Thailand","Choeng Thale","to","Phuket International Airport (HKT) -> Choeng Thale || Phuket International Airport (HKT) -> Choeng Thale || Phuket International Airport (HKT) -> Choeng Thale"
"Choengmom beach and gardens","7","Thailand","Choengmom beach and gardens","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Choengmom beach and gardens || Koh Samui - Mae Nam Port (Surat Thani ) -> Choengmom beach and gardens || Samui International Airport (USM) -> Choengmom beach and gardens"
"Chula Vista","14","United States of America","Chula Vista","to","John Wayne Airport (SNA) -> Chula Vista || John Wayne Airport (SNA) -> Chula Vista || John Wayne Airport (SNA) -> Chula Vista"
"Chumphon town","2","Thailand","Chumphon town","to","Phuket International Airport (HKT) -> Chumphon town || Phuket International Airport (HKT) -> Chumphon town"
"Cirali / Çıralı (Kemer, Antlaya)","4","Turkey","Cirali / Çıralı (Kemer, Antlaya)","to","Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya) || Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya) || Antalya Airport (AYT) -> Cirali / Çıralı (Kemer, Antlaya)"
"City of Dream","1","Cyprus","City of Dream","to","Larnaca Airport (LCA) -> City of Dream"
"Colakli / Çolaklı","5","Turkey","Colakli / Çolaklı","to","Antalya Airport (AYT) -> Colakli / Çolaklı || Antalya Airport (AYT) -> Colakli / Çolaklı || Antalya Airport (AYT) -> Colakli / Çolaklı"
"Cologne","3","Germany","Cologne","to","Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne"
"Cologne Bonn Airport (CGN)","3","Germany","Cologne","from","Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne"
"Colombo","2","Sri-Lanka","Colombo","to","Colombo Bandaranaike Airport (CMB) -> Colombo || Hikkaduwa -> Colombo"
"Colombo Bandaranaike Airport (CMB)","2","Sri-Lanka","Colombo|Kandy","from","Colombo Bandaranaike Airport (CMB) -> Colombo || Colombo Bandaranaike Airport (CMB) -> Kandy"
"Conrad Hotel Samui","7","Thailand","Conrad Hotel Samui","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Conrad Hotel Samui || Koh Samui - Mae Nam Port (Surat Thani ) -> Conrad Hotel Samui || Samui International Airport (USM) -> Conrad Hotel Samui"
"Copenhagen","8","Denmark|Sweden","Copenhagen","to","Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen"
"Copenhagen Cruise Port","4","Denmark","Copenhagen","from","Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen || Copenhagen Cruise Port -> Copenhagen"
"Copenhagen Kastrup Airport (CPH)","20","Denmark|Sweden","Copenhagen|Glostrup|Gøteborg / Göteborg / Gothenburg|Malmö / Malmo|Malmö Sturup Airport (MMX)|Roskilde|Copenhagen Kastrup Airport (CPH)","from|to","Copenhagen Kastrup Airport (CPH) -> Copenhagen || Copenhagen Kastrup Airport (CPH) -> Copenhagen || Copenhagen Kastrup Airport (CPH) -> Copenhagen"
"Costa Adeje","6","Spain","Costa Adeje","to","Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje"
"Daegu","3","South Korea","Daegu","to","Busan Gimhae Airport (PUS) -> Daegu || Busan Gimhae Airport (PUS) -> Daegu || Busan Gimhae Airport (PUS) -> Daegu"
"Dahab","2","Egypt","Dahab","to","Sharm el-Sheikh International Airport (SSH) -> Dahab || Sharm el-Sheikh International Airport (SSH) -> Dahab"
"Dalaman Airport (DLM)","18","Turkey","Bozburun (Marmaris)|Datça|Hisarönü (Marmaris)|Marmaris|Selimiye (Marmaris)|Turunç (Marmaris)","from","Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris) || Dalaman Airport (DLM) -> Bozburun (Marmaris)"
"Dali","1","Cyprus","Dali","to","Larnaca Airport (LCA) -> Dali"
"Dallas","20","United States of America","Dallas","to","Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas"
"Dallas Addison Airport (ADS)","5","United States of America","Dallas","from","Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas"
"Dallas Executive Airport (RBD)","5","United States of America","Dallas","from","Dallas Executive Airport (RBD) -> Dallas || Dallas Executive Airport (RBD) -> Dallas || Dallas Executive Airport (RBD) -> Dallas"
"Dallas Fort Worth Airport (DFW)","5","United States of America","Dallas","from","Dallas Fort Worth Airport (DFW) -> Dallas || Dallas Fort Worth Airport (DFW) -> Dallas || Dallas Fort Worth Airport (DFW) -> Dallas"
"Dallas Love Field (DAL)","5","United States of America","Dallas","from","Dallas Love Field (DAL) -> Dallas || Dallas Love Field (DAL) -> Dallas || Dallas Love Field (DAL) -> Dallas"
"Dana","6","Jordan","Dana","to","Amman Civil Airport (Marka) (ADJ) -> Dana || Amman Civil Airport (Marka) (ADJ) -> Dana || Amman Civil Airport (Marka) (ADJ) -> Dana"
"Danderyd municipality","2","Sweden","Danderyd municipality","to","Stockholm Arlanda Airport (ARN) -> Danderyd municipality || Stockholm Arlanda Airport (ARN) -> Danderyd municipality"
"Dania Beach","1","United States of America","Dania Beach","to","Port Everglades -> Dania Beach"
"Datça","3","Turkey","Datça","to","Dalaman Airport (DLM) -> Datça || Dalaman Airport (DLM) -> Datça || Dalaman Airport (DLM) -> Datça"
"David the Builder Kutaisi Airport (KUT)","6","Georgia","Kutaisi","from","David the Builder Kutaisi Airport (KUT) -> Kutaisi || David the Builder Kutaisi Airport (KUT) -> Kutaisi || David the Builder Kutaisi Airport (KUT) -> Kutaisi"
"Dead sea","6","Jordan","Dead sea","to","Amman Civil Airport (Marka) (ADJ) -> Dead sea || Amman Civil Airport (Marka) (ADJ) -> Dead sea || Amman Civil Airport (Marka) (ADJ) -> Dead sea"
"Deira Dubai","10","United Arab Emirates","Deira Dubai","to","Dubai international Airport (DXB) -> Deira Dubai || Dubai international Airport (DXB) -> Deira Dubai || Dubai international Airport (DXB) -> Deira Dubai"
"Denizyaka","4","Turkey","Denizyaka","to","Antalya Airport (AYT) -> Denizyaka || Antalya Airport (AYT) -> Denizyaka || Antalya Airport (AYT) -> Denizyaka"
"Denpasar Ngurah Rai Airport (DPS)","10","Indonesia","Amed Beach|Canggu|Denpasar Ngurah Rai Airport (DPS)|Jimbaran|Kuta, Seminyak|Lovina Beach|Nusa dua|Padang Bai|Ubud|Uluwatu","from|to","Denpasar Ngurah Rai Airport (DPS) -> Amed Beach || Denpasar Ngurah Rai Airport (DPS) -> Canggu || Ubud -> Denpasar Ngurah Rai Airport (DPS)"
"Denver","1","United States of America","Denver","to","Denver International Airport (DEN) -> Denver"
"Denver International Airport (DEN)","1","United States of America","Denver","from","Denver International Airport (DEN) -> Denver"
"Derynia","1","Cyprus","Derynia","to","Larnaca Airport (LCA) -> Derynia"
"Dierona","1","Cyprus","Dierona","to","Larnaca Airport (LCA) -> Dierona"
"Discovery Gardens Dubai","7","United Arab Emirates","Discovery Gardens Dubai","to","Dubai international Airport (DXB) -> Discovery Gardens Dubai || Dubai international Airport (DXB) -> Discovery Gardens Dubai || Dubai international Airport (DXB) -> Discovery Gardens Dubai"
"Disney Area, Tokyo","9","Japan","Disney Area, Tokyo","to","Tokyo (within 23 wards) -> Disney Area, Tokyo || Tokyo (within 23 wards) -> Disney Area, Tokyo || Tokyo (within 23 wards) -> Disney Area, Tokyo"
"Disneyland","20","France","Disneyland","to","Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland"
"Disposal up to 8 hours / 100 km within Istanbul","2","Turkey","Istanbul","to","Istanbul -> Disposal up to 8 hours / 100 km within Istanbul || Istanbul -> Disposal up to 8 hours / 100 km within Istanbul"
"Dnipro","1","Ukraine","Dnipro","to","Dnipropetrovsk International Airport (DNK) -> Dnipro"
"Dnipropetrovsk International Airport (DNK)","1","Ukraine","Dnipro","from","Dnipropetrovsk International Airport (DNK) -> Dnipro"
"Doi Saket district","2","Thailand","Doi Saket district","to","Chiang Mai International Airport (CNX) -> Doi Saket district || Chiang Mai International Airport (CNX) -> Doi Saket district"
